Motif	Unique_Protein_Count	Frequency_Proteome	Species	Bait	Total_partners	Partners_with_motif	Frequency_Partners	p_value	p_adj	significant	FoldChange	log2FC
motif1	4198	0.2056	Human	SRC	78	43	0.5512820512820513	1.8751086452494213e-11	1.1250651871496528e-10	True	2.6813329334334535	1.4229503657554192
motif1	4198	0.2056	Human	HCK	117	67	0.5726495726495726	3.1707938860229158e-18	2.853714497420624e-17	True	2.785260566493417	1.4778123007801724
motif1	4198	0.2056	Human	UNION	132	73	0.553030303030303	1.4919097404668925e-18	1.790291688560271e-17	True	2.6898361034110865	1.427518269436306
motif1	4198	0.2056	Human	INTERSECTION	63	37	0.5873015873015873	3.829418050552609e-11	1.723238122748674e-10	True	2.8565252291631067	1.5142612720285527
motif2	3684	0.1804	Human	SRC	78	41	0.5256410256410257	5.545825956664596e-12	3.9929946887985095e-11	True	2.913752912692075	1.5428785415246475
motif2	3684	0.1804	Human	HCK	117	67	0.5726495726495726	2.1491270720922636e-21	3.868428729766074e-20	True	3.1743324414198413	1.6664532266206495
motif2	3684	0.1804	Human	UNION	132	73	0.553030303030303	6.014345816178851e-22	2.1651644938243863e-20	True	3.065578175297922	1.6161591952767826
motif2	3684	0.1804	Human	INTERSECTION	63	35	0.5555555555555556	2.464954481700777e-11	1.2676908763032568e-10	True	3.079576249155199	1.6227318491990834
motif3	13933	0.6824	Human	SRC	78	70	0.8974358974358975	7.408656053527437e-06	1.4037453575104618e-05	True	1.3151170829489827	0.39519124626321994
motif3	13933	0.6824	Human	HCK	117	105	0.8974358974358975	3.700604673918044e-08	9.51584059007497e-08	True	1.3151170829489827	0.39519124626321994
motif3	13933	0.6824	Human	UNION	132	117	0.8863636363636364	3.4972260762050384e-08	9.51584059007497e-08	True	1.2988916124468746	0.377281048407461
motif3	13933	0.6824	Human	INTERSECTION	63	58	0.9206349206349206	6.359170094853341e-06	1.2718340189706682e-05	True	1.3491133068581613	0.4320115198041065
motif4	2053	0.1006	Human	SRC	78	22	0.282051282051282	5.478710647570976e-06	1.1601975488973831e-05	True	2.8036906746611625	1.4873271885963815
motif4	2053	0.1006	Human	HCK	117	31	0.2649572649572649	3.349780771019157e-07	7.537006734793104e-07	True	2.633770027772246	1.3971293796578035
motif4	2053	0.1006	Human	UNION	132	34	0.2575757575757575	1.928319219118535e-07	4.627966125884484e-07	True	2.5603952029793047	1.3563665107618228
motif4	2053	0.1006	Human	INTERSECTION	63	19	0.3015873015873015	8.121140168034529e-06	1.461805230246215e-05	True	2.9978856996770675	1.583945378731868
motif5	818	0.0401	Human	SRC	78	19	0.2435897435897435	1.6652192851880286e-10	5.994789426676903e-10	True	6.074557184096952	2.602779244670387
motif5	818	0.0401	Human	HCK	117	21	0.1794871794871795	7.285979650116798e-09	2.384502430947316e-08	True	4.4759895047276945	2.1622066534959288
motif5	818	0.0401	Human	UNION	132	25	0.1893939393939394	8.211850262239782e-11	3.284740104895913e-10	True	4.72304087335749	2.2397160206748
motif5	818	0.0401	Human	INTERSECTION	63	15	0.238095238095238	1.962466452548902e-08	5.887399357646706e-08	True	5.937537097293873	2.5698646222113193
motif6	31	0.0015	Human	SRC	78	1	0.0128205128205128	0.1119657352498481	0.1343588822998177	False	8.547008043874662	3.095419480152035
motif6	31	0.0015	Human	HCK	117	2	0.017094017094017	0.0135843520299713	0.0195614669231587	True	11.396010702943952	3.510456976617618
motif6	31	0.0015	Human	UNION	132	2	0.0151515151515151	0.0170659932408984	0.0236298367950901	True	10.1010094942761	3.3364275779245935
motif6	31	0.0015	Human	INTERSECTION	63	1	0.0158730158730158	0.0914215377378541	0.1134888054676809	False	10.58200994320987	3.4035417733503204
motif7	378	0.0185	Human	SRC	78	7	0.0897435897435897	0.0006029187433371	0.0009436989026146	True	4.851004830188606	2.278283616037715
motif7	378	0.0185	Human	HCK	117	9	0.0769230769230769	0.0003309524643698	0.0005415585780597	True	4.158004140933864	2.0558911949691967
motif7	378	0.0185	Human	UNION	132	11	0.0833333333333333	3.547925398267088e-05	6.082157825600721e-05	True	4.504504485561235	2.171368412244863
motif7	378	0.0185	Human	INTERSECTION	63	5	0.0793650793650793	0.0061842082273201	0.0092763123409802	True	4.29000427222048	2.1009790844400262
motif8	11	0.0005	Human	SRC	78	1	0.0128205128205128	0.0412401148054028	0.0549868197405371	False	25.641020712821454	4.680381788513878
motif8	11	0.0005	Human	HCK	117	0	0.0	1.0	1.0	False	1.99999960000008e-07	-22.253496952750517
motif8	11	0.0005	Human	UNION	132	1	0.0075757575757575	0.0688786169522065	0.0885582217956941	False	15.151512321212532	3.921389895808214
motif8	11	0.0005	Human	INTERSECTION	63	0	0.0	1.0	1.0	False	1.99999960000008e-07	-22.253496952750517
motif9	8	0.0004	Human	SRC	78	0	0.0	1.0	1.0	False	2.4999993750001564e-07	-21.93156892999789
motif9	8	0.0004	Human	HCK	117	0	0.0	1.0	1.0	False	2.4999993750001564e-07	-21.93156892999789
motif9	8	0.0004	Human	UNION	132	0	0.0	1.0	1.0	False	2.4999993750001564e-07	-21.93156892999789
motif9	8	0.0004	Human	INTERSECTION	63	0	0.0	1.0	1.0	False	2.4999993750001564e-07	-21.93156892999789
