Motif	Species	Bait	Total_partners	Partners_with_motif	Frequency
motif1	Human	SRC	78	43	0.5512820512820513
motif1	Human	HCK	117	67	0.5726495726495726
motif1	Human	UNION	132	73	0.553030303030303
motif1	Human	INTERSECTION	63	37	0.5873015873015873
motif2	Human	SRC	78	41	0.5256410256410257
motif2	Human	HCK	117	67	0.5726495726495726
motif2	Human	UNION	132	73	0.553030303030303
motif2	Human	INTERSECTION	63	35	0.5555555555555556
motif3	Human	SRC	78	70	0.8974358974358975
motif3	Human	HCK	117	105	0.8974358974358975
motif3	Human	UNION	132	117	0.8863636363636364
motif3	Human	INTERSECTION	63	58	0.9206349206349206
motif4	Human	SRC	78	22	0.28205128205128205
motif4	Human	HCK	117	31	0.26495726495726496
motif4	Human	UNION	132	34	0.25757575757575757
motif4	Human	INTERSECTION	63	19	0.30158730158730157
motif5	Human	SRC	78	19	0.24358974358974358
motif5	Human	HCK	117	21	0.1794871794871795
motif5	Human	UNION	132	25	0.1893939393939394
motif5	Human	INTERSECTION	63	15	0.23809523809523808
motif6	Human	SRC	78	1	0.01282051282051282
motif6	Human	HCK	117	2	0.017094017094017096
motif6	Human	UNION	132	2	0.015151515151515152
motif6	Human	INTERSECTION	63	1	0.015873015873015872
motif7	Human	SRC	78	7	0.08974358974358974
motif7	Human	HCK	117	9	0.07692307692307693
motif7	Human	UNION	132	11	0.08333333333333333
motif7	Human	INTERSECTION	63	5	0.07936507936507936
motif8	Human	SRC	78	1	0.01282051282051282
motif8	Human	HCK	117	0	0.0
motif8	Human	UNION	132	1	0.007575757575757576
motif8	Human	INTERSECTION	63	0	0.0
motif9	Human	SRC	78	0	0.0
motif9	Human	HCK	117	0	0.0
motif9	Human	UNION	132	0	0.0
motif9	Human	INTERSECTION	63	0	0.0
