Motif	Unique_Protein_Count	Frequency_Proteome	Species	Bait	Total_partners	Partners_with_motif	Frequency_Partners	p_value	p_adj	significant
motif1	4198	0.2056	Human	SRC	78	43	0.5512820512820513	1.8751086452494213e-11	1.1250651871496528e-10	True
motif1	4198	0.2056	Human	HCK	117	67	0.5726495726495726	3.1707938860229154e-18	2.853714497420624e-17	True
motif1	4198	0.2056	Human	UNION	132	73	0.553030303030303	1.4919097404668925e-18	1.790291688560271e-17	True
motif1	4198	0.2056	Human	INTERSECTION	63	37	0.5873015873015873	3.829418050552609e-11	1.723238122748674e-10	True
motif2	3684	0.1804	Human	SRC	78	41	0.5256410256410257	5.545825956664596e-12	3.9929946887985095e-11	True
motif2	3684	0.1804	Human	HCK	117	67	0.5726495726495726	2.1491270720922633e-21	3.868428729766074e-20	True
motif2	3684	0.1804	Human	UNION	132	73	0.553030303030303	6.014345816178851e-22	2.1651644938243866e-20	True
motif2	3684	0.1804	Human	INTERSECTION	63	35	0.5555555555555556	2.464954481700777e-11	1.2676908763032568e-10	True
motif3	13933	0.6824	Human	SRC	78	70	0.8974358974358975	7.408656053527437e-06	1.4037453575104618e-05	True
motif3	13933	0.6824	Human	HCK	117	105	0.8974358974358975	3.7006046739180436e-08	9.51584059007497e-08	True
motif3	13933	0.6824	Human	UNION	132	117	0.8863636363636364	3.497226076205038e-08	9.51584059007497e-08	True
motif3	13933	0.6824	Human	INTERSECTION	63	58	0.9206349206349206	6.359170094853341e-06	1.2718340189706682e-05	True
motif4	2053	0.1006	Human	SRC	78	22	0.282051282051282	5.478710647570976e-06	1.1601975488973833e-05	True
motif4	2053	0.1006	Human	HCK	117	31	0.2649572649572649	3.349780771019157e-07	7.537006734793104e-07	True
motif4	2053	0.1006	Human	UNION	132	34	0.2575757575757575	1.928319219118535e-07	4.6279661258844833e-07	True
motif4	2053	0.1006	Human	INTERSECTION	63	19	0.3015873015873015	8.121140168034529e-06	1.461805230246215e-05	True
motif5	818	0.0401	Human	SRC	78	19	0.2435897435897435	1.6652192851880286e-10	5.994789426676903e-10	True
motif5	818	0.0401	Human	HCK	117	21	0.1794871794871795	7.285979650116798e-09	2.3845024309473156e-08	True
motif5	818	0.0401	Human	UNION	132	25	0.1893939393939394	8.211850262239782e-11	3.284740104895913e-10	True
motif5	818	0.0401	Human	INTERSECTION	63	15	0.238095238095238	1.962466452548902e-08	5.887399357646706e-08	True
motif6	31	0.0015	Human	SRC	78	1	0.0128205128205128	0.11196573524984811	0.13435888229981774	False
motif6	31	0.0015	Human	HCK	117	2	0.017094017094017	0.01358435202997136	0.019561466923158757	True
motif6	31	0.0015	Human	UNION	132	2	0.0151515151515151	0.01706599324089845	0.02362983679509016	True
motif6	31	0.0015	Human	INTERSECTION	63	1	0.0158730158730158	0.09142153773785412	0.11348880546768098	False
motif7	378	0.0185	Human	SRC	78	7	0.0897435897435897	0.0006029187433371556	0.0009436989026146785	True
motif7	378	0.0185	Human	HCK	117	9	0.0769230769230769	0.0003309524643698641	0.0005415585780597776	True
motif7	378	0.0185	Human	UNION	132	11	0.0833333333333333	3.547925398267088e-05	6.082157825600721e-05	True
motif7	378	0.0185	Human	INTERSECTION	63	5	0.0793650793650793	0.006184208227320148	0.009276312340980223	True
motif8	11	0.0005	Human	SRC	78	1	0.0128205128205128	0.041240114805402885	0.05498681974053718	False
motif8	11	0.0005	Human	HCK	117	0	0.0	1.0	1.0	False
motif8	11	0.0005	Human	UNION	132	1	0.0075757575757575	0.06887861695220657	0.08855822179569416	False
motif8	11	0.0005	Human	INTERSECTION	63	0	0.0	1.0	1.0	False
motif9	8	0.0004	Human	SRC	78	0	0.0	1.0	1.0	False
motif9	8	0.0004	Human	HCK	117	0	0.0	1.0	1.0	False
motif9	8	0.0004	Human	UNION	132	0	0.0	1.0	1.0	False
motif9	8	0.0004	Human	INTERSECTION	63	0	0.0	1.0	1.0	False
