Motif	Unique_Protein_Count	Frequency_Proteome	Species	Bait	Total_partners	Partners_with_motif	Frequency_Partners	p_value	p_adj	significant	FoldChange	log2FC
motif1	3353	0.1952	Mouse	SRC	48	13	0.2708333333333333	0.1282175512819117	0.242938518218359	False	1.3874658467960386	0.4724522592001008
motif1	3353	0.1952	Mouse	HCK	139	37	0.2661870503597122	0.025068989225448	0.168157858244181	False	1.3636631676400914	0.447487334694905
motif1	3353	0.1952	Mouse	UNION	148	37	0.25	0.0594473519483469	0.168157858244181	False	1.2807377047742121	0.3569750418245554
motif1	3353	0.1952	Mouse	INTERSECTION	39	13	0.3333333333333333	0.0294245664391422	0.168157858244181	False	1.7076502728615177	0.7720125409591296
motif2	2990	0.174	Mouse	SRC	48	8	0.1666666666666666	0.6128636434615904	0.9192954651923856	False	0.9578544061544895	-0.062121711871316
motif2	2990	0.174	Mouse	HCK	139	31	0.2230215827338129	0.0812318344048303	0.1720203552102289	False	1.2817332339404575	0.3580960262944771
motif2	2990	0.174	Mouse	UNION	148	31	0.2094594594594594	0.1509627046540032	0.2717328683772058	False	1.2037899967763241	0.26758373343091924
motif2	2990	0.174	Mouse	INTERSECTION	39	8	0.2051282051282051	0.3658938583763755	0.572703430502153	False	1.1788977305190536	0.23743856982528888
motif3	11668	0.6791	Mouse	SRC	48	20	0.4166666666666667	0.9999508884198864	1.0	False	0.6135571590418362	-0.704730343134559
motif3	11668	0.6791	Mouse	HCK	139	64	0.460431654676259	0.9999999714896184	1.0	False	0.6780027311271665	-0.5606370100571839
motif3	11668	0.6791	Mouse	UNION	148	66	0.4459459459459459	0.9999999986865388	1.0	False	0.6566719864236176	-0.6067551835939949
motif3	11668	0.6791	Mouse	INTERSECTION	39	18	0.4615384615384615	0.9985495461547752	1.0	False	0.6796325453843296	-0.5571731547543641
motif4	1752	0.102	Mouse	SRC	48	8	0.1666666666666666	0.1107898361713548	0.2215796723427096	False	1.633986927483019	0.7083964414206451
motif4	1752	0.102	Mouse	HCK	139	21	0.1510791366906475	0.0430843048986373	0.168157858244181	False	1.4811680062993207	0.5667352922863643
motif4	1752	0.102	Mouse	UNION	148	21	0.1418918918918918	0.0747368258863027	0.168157858244181	False	1.3910969789488443	0.4762229994427508
motif4	1752	0.102	Mouse	INTERSECTION	39	8	0.2051282051282051	0.0402739332590333	0.168157858244181	False	2.0110608335990103	1.0079567231172502
motif5	638	0.0371	Mouse	SRC	48	6	0.125	0.0083456138171916	0.075110524354725	False	3.369272230810587	1.7524370001941363
motif5	638	0.0371	Mouse	HCK	139	13	0.0935251798561151	0.0020268761792234	0.0421598052323661	True	2.520894331644896	1.3339356460001386
motif5	638	0.0371	Mouse	UNION	148	13	0.0878378378378378	0.0035133171026971	0.0421598052323661	True	2.367596703533103	1.2434233531945746
motif5	638	0.0371	Mouse	INTERSECTION	39	6	0.1538461538461538	0.002938003198316	0.0421598052323661	True	4.146796591144856	2.0519972818366394
motif6	27	0.0016	Mouse	SRC	48	1	0.0208333333333333	0.0728083803341645	0.168157858244181	False	13.020832582031277	3.70274979558479
motif6	27	0.0016	Mouse	HCK	139	1	0.0071942446043165	0.1970751792002135	0.3378431643432231	False	4.496402659172646	2.168771236710956
motif6	27	0.0016	Mouse	UNION	148	1	0.0067567567567567	0.2084543631203375	0.3411071396514614	False	4.222972771537139	2.0782589451039364
motif6	27	0.0016	Mouse	INTERSECTION	39	1	0.0256410256410256	0.0595575535322517	0.168157858244181	False	16.025640086538495	4.002310076145272
motif7	339	0.0197	Mouse	SRC	48	3	0.0625	0.0687348023427674	0.168157858244181	False	3.1725888214589397	1.66566055507806
motif7	339	0.0197	Mouse	HCK	139	6	0.0431654676258992	0.0575895872632958	0.168157858244181	False	2.1911404825779264	1.1316819841096375
motif7	339	0.0197	Mouse	UNION	148	6	0.0405405405405405	0.0732508937875809	0.168157858244181	False	2.0578954535406577	1.0411696914206008
motif7	339	0.0197	Mouse	INTERSECTION	39	3	0.0769230769230769	0.0412603631315443	0.168157858244181	False	3.904724702162661	1.965220836504159
motif8	12	0.0007	Mouse	SRC	48	0	0.0	1.0	1.0	False	1.428571224489825e-07	-22.738923697481056
motif8	12	0.0007	Mouse	HCK	139	0	0.0	1.0	1.0	False	1.428571224489825e-07	-22.738923697481056
motif8	12	0.0007	Mouse	UNION	148	0	0.0	1.0	1.0	False	1.428571224489825e-07	-22.738923697481056
motif8	12	0.0007	Mouse	INTERSECTION	39	0	0.0	1.0	1.0	False	1.428571224489825e-07	-22.738923697481056
motif9	8	0.0005	Mouse	SRC	48	0	0.0	1.0	1.0	False	1.99999960000008e-07	-22.253496952750517
motif9	8	0.0005	Mouse	HCK	139	0	0.0	1.0	1.0	False	1.99999960000008e-07	-22.253496952750517
motif9	8	0.0005	Mouse	UNION	148	0	0.0	1.0	1.0	False	1.99999960000008e-07	-22.253496952750517
motif9	8	0.0005	Mouse	INTERSECTION	39	0	0.0	1.0	1.0	False	1.99999960000008e-07	-22.253496952750517
