Motif	Unique_Protein_Count	Frequency_Proteome	Species	Bait	Total_partners	Partners_with_motif	Frequency_Partners	p_value	p_adj	significant
motif1	3353	0.1952	Mouse	SRC	48	13	0.2708333333333333	0.1282175512819117	0.24293851821835902	False
motif1	3353	0.1952	Mouse	HCK	139	37	0.2661870503597122	0.02506898922544802	0.16815785824418109	False
motif1	3353	0.1952	Mouse	UNION	148	37	0.25	0.05944735194834693	0.16815785824418109	False
motif1	3353	0.1952	Mouse	INTERSECTION	39	13	0.3333333333333333	0.0294245664391422	0.16815785824418109	False
motif2	2990	0.174	Mouse	SRC	48	8	0.1666666666666666	0.6128636434615904	0.9192954651923856	False
motif2	2990	0.174	Mouse	HCK	139	31	0.2230215827338129	0.08123183440483031	0.1720203552102289	False
motif2	2990	0.174	Mouse	UNION	148	31	0.2094594594594594	0.15096270465400322	0.2717328683772058	False
motif2	2990	0.174	Mouse	INTERSECTION	39	8	0.2051282051282051	0.3658938583763755	0.572703430502153	False
motif3	11668	0.6791	Mouse	SRC	48	20	0.4166666666666667	0.9999508884198864	1.0	False
motif3	11668	0.6791	Mouse	HCK	139	64	0.460431654676259	0.9999999714896184	1.0	False
motif3	11668	0.6791	Mouse	UNION	148	66	0.4459459459459459	0.9999999986865389	1.0	False
motif3	11668	0.6791	Mouse	INTERSECTION	39	18	0.4615384615384615	0.9985495461547751	1.0	False
motif4	1752	0.102	Mouse	SRC	48	8	0.1666666666666666	0.11078983617135481	0.22157967234270962	False
motif4	1752	0.102	Mouse	HCK	139	21	0.1510791366906475	0.04308430489863739	0.16815785824418109	False
motif4	1752	0.102	Mouse	UNION	148	21	0.1418918918918918	0.0747368258863027	0.16815785824418109	False
motif4	1752	0.102	Mouse	INTERSECTION	39	8	0.2051282051282051	0.04027393325903335	0.16815785824418109	False
motif5	638	0.0371	Mouse	SRC	48	6	0.125	0.008345613817191672	0.07511052435472505	False
motif5	638	0.0371	Mouse	HCK	139	13	0.0935251798561151	0.002026876179223436	0.04215980523236611	True
motif5	638	0.0371	Mouse	UNION	148	13	0.0878378378378378	0.0035133171026971756	0.04215980523236611	True
motif5	638	0.0371	Mouse	INTERSECTION	39	6	0.1538461538461538	0.002938003198316026	0.04215980523236611	True
motif6	27	0.0016	Mouse	SRC	48	1	0.0208333333333333	0.07280838033416456	0.16815785824418109	False
motif6	27	0.0016	Mouse	HCK	139	1	0.0071942446043165	0.19707517920021353	0.33784316434322315	False
motif6	27	0.0016	Mouse	UNION	148	1	0.0067567567567567	0.20845436312033752	0.3411071396514614	False
motif6	27	0.0016	Mouse	INTERSECTION	39	1	0.0256410256410256	0.05955755353225173	0.16815785824418109	False
motif7	339	0.0197	Mouse	SRC	48	3	0.0625	0.06873480234276746	0.16815785824418109	False
motif7	339	0.0197	Mouse	HCK	139	6	0.0431654676258992	0.05758958726329587	0.16815785824418109	False
motif7	339	0.0197	Mouse	UNION	148	6	0.0405405405405405	0.07325089378758098	0.16815785824418109	False
motif7	339	0.0197	Mouse	INTERSECTION	39	3	0.0769230769230769	0.04126036313154432	0.16815785824418109	False
motif8	12	0.0007	Mouse	SRC	48	0	0.0	1.0	1.0	False
motif8	12	0.0007	Mouse	HCK	139	0	0.0	1.0	1.0	False
motif8	12	0.0007	Mouse	UNION	148	0	0.0	1.0	1.0	False
motif8	12	0.0007	Mouse	INTERSECTION	39	0	0.0	1.0	1.0	False
motif9	8	0.0005	Mouse	SRC	48	0	0.0	1.0	1.0	False
motif9	8	0.0005	Mouse	HCK	139	0	0.0	1.0	1.0	False
motif9	8	0.0005	Mouse	UNION	148	0	0.0	1.0	1.0	False
motif9	8	0.0005	Mouse	INTERSECTION	39	0	0.0	1.0	1.0	False
