gene_id,uniprot_id,concentration_uM,pKapp
Rpl9-ps6,A0A140T8T4,8.34633955891728,#N/A
Tpm3-rs7,D3Z2H9,5.8404330937423,#N/A
Ftl1,P29391,4.93747014558141,#N/A
G6pdx,Q00612,4.25427039476625,#N/A
ENV1,P10404,3.0480145316635,4.24872403600828
Acaa1a,Q921H8,2.15584086035754,#N/A
Gm10320,E9PW43,2.08965323002063,#N/A
Eif3j2,Q66JS6,1.88366995317115,#N/A
Eif2s3x,Q9Z0N1,1.77360221553189,#N/A
Try10,Q792Z1,1.60027046509625,#N/A
Lyz2,P08905,1.47577358239517,#N/A
Timm8a1,Q9WVA2,1.20352109822295,#N/A
Zng1,Q8VEH6,1.0709834275348,#N/A
Akr1b8,P45377,1.04873422300269,#N/A
Hbb-b1,P02088,1.02552739327364,#N/A
Try5,Q9QUK9,0.721640602699849,#N/A
Gm7324,A0A2I3BRL8,0.49286227042389,4.96500910539498
CS025,Q9D7E4,0.427207440825361,#N/A
Prps1l3,G3UXL2,0.425325365606493,#N/A
H2-L,P01897,0.359604307861712,#N/A
Oas1a,P11928,0.284576600873028,#N/A
Ccl9,P51670,0.271872118146507,#N/A
Fv4,P11370,0.24998422244451,#N/A
Atad3,Q925I1,0.243861714770975,4.29828039310114
H2-Q4,Q8HWB2,0.198172938409574,#N/A
Igkv1-135,A0A0B4J1H7,0.196742121994413,#N/A
Serpinb6b,O08804,0.184887307177329,#N/A
CK098,Q9D937,0.173789366410374,#N/A
Lilrb4a,Q64281,0.170468410481205,#N/A
Nxf7,Q80SZ6,0.170099458001148,#N/A
Naa12,Q9CQX6,0.161085980095165,#N/A
Rnf113a2,Q14B01,0.145164907033785,#N/A
2210016F16Rik,G3X8U3,0.14251762306116,#N/A
CHOLN,Q9CXL3,0.122672798527535,#N/A
Ifi207,E9Q3L4,0.121503688915403,#N/A
Raet1b,O08603,0.109541045531796,#N/A
Washc2,Q6PGL7,0.10669666685094,#N/A
Abcb1b,P06795,0.106624254104686,#N/A
Raet1c,O08604,0.0965351238603106,#N/A
Tmem181a,A0A338P7C9,0.0870626799644548,#N/A
Rnaset2a,C0HKG5,0.0853838407928452,#N/A
H2-T23,P06339,0.0841632228045227,#N/A
