gene_id,uniprot_id,[µM],pKapp,Kapp,complexome
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
PPIA,P62937,231.327152778161,,,
VIM,P08670,182.842833127068,,,
PFN1,P07737,93.0360874603808,,,
ANXA2,P07355,92.8613032351606,,,
GAPDH,P04406,71.6254343791058,,,
LGALS1,P09382,65.7452570555802,,,
PKM,P14618,52.527383207025,,,
EEF1A1,P68104,52.1054990969087,,,
HSPE1,P61604,51.9672656813104,,,
H4C16,P62805,50.0261366671109,,,
RPS3A,P61247,42.5772492609899,,,
LDHA,P00338,38.033477292764,,,
PRDX1,Q06830,37.8297632814137,,,
TXN,P10599,35.4185610744148,,,
YWHAZ,P63104,33.0661958845241,,,
CFL1,P23528,32.8970635716066,,,
ANXA1,P04083,29.8922517537197,,,
TPI1,P60174,25.0351236935182,,,
NPM1,P06748,23.0768149259669,,,
ENO1,P06733,21.524874969611,,,
HSP90AA1,P07900,21.2336265163791,,,
HNRNPA2B1,P22626,20.6506241522844,,,
PGK1,P00558,20.6347617868024,,,
RPLP2,P05387,20.5622653449828,,,
ALDOA,P04075,20.4921556647297,,,
RAN,P62826,20.3368049642102,,,
TUBA1C,Q9BQE3,19.9145694614432,,,
RPS9,P46781,19.1577289230484,,,
YWHAE,P62258,18.4551987989072,,,
LDHB,P07195,18.3699017777029,,,
HSPA8,P11142,18.1648071783256,,,
RPS20,P60866,17.22546718169,,,
RPS25,P62851,16.7543892754471,,,
KRT15,P19012,16.5289749214266,,,
S100A11,P31949,16.1209609668188,,,
VDAC1,P21796,16.0698932505256,,,
RPS27A,P62979,15.9641347444194,,,
COTL1,Q14019,15.7124759348834,,,
LMNA,P02545,15.4739966486405,,,
RPS16,P62249,14.9526838502236,,,
ANXA5,P08758,14.9478671304005,,,
HNRNPC,P07910,14.3075940180194,,,
CLIC1,O00299,13.7472807058362,,,
PRDX6,P30041,13.4722417060228,,,
EEF1B2,P24534,13.2452698165287,,,
EIF5A,P63241,13.1973039463602,,,
MYL6,P60660,13.1969581616855,,,
RPS21,P63220,12.9977542188343,,,
HSPD1,P10809,12.9154652348456,,,
EEF1D,P29692,12.7688681985493,,,
HSP90AB1,P08238,12.7610725292409,,,
TMSB4X,P62328,12.6196324111326,,,
EEF1G,P26641,12.4628132379884,,,
