Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse
SRC,SRC,SRC,SRC,SRC,SRC,SRC,SRC,HCK,HCK,HCK,HCK,HCK,HCK,HCK,HCK,SRC_minus_HCK,SRC_minus_HCK,SRC_minus_HCK,SRC_vs_HCK,SRC,SRC,SRC,SRC,SRC,SRC,SRC,SRC,HCK,HCK,HCK,HCK,HCK,HCK,HCK,HCK,SRC_minus_HCK,SRC_minus_HCK,SRC_minus_HCK,SRC_vs_HCK
gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome,log_concentration_uM,log_complexome,gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome,log_concentration_uM,log_complexome,delta_pKapp,delta_complexome,log_delta_complexome,ratio_log_complexome,gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome,log_concentration_uM,log_complexome,gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome,log_concentration_uM,log_complexome,delta_pKapp,delta_complexome,log_delta_complexome,ratio_log_complexome
,,,,,,,,,,,,,,,,,,,,Rpl9-ps6,A0A140T8T4,8.34633955891728,,,,0.9214960493865024,,Rpl9-ps6,A0A140T8T4,8.34633955891728,,,,0.9214960493865024,,,,,
,,,,,,,,,,,,,,,,,,,,Tpm3-rs7,D3Z2H9,5.8404330937423,,,,0.766445053148084,,Tpm3-rs7,D3Z2H9,5.8404330937423,,,,0.766445053148084,,,,,
,,,,,,,,,,,,,,,,,,,,Ftl1,P29391,4.93747014558141,,,,0.6935044826803998,,Ftl1,P29391,4.93747014558141,,,,0.6935044826803998,,,,,
,,,,,,,,,,,,,,,,,,,,G6pdx,Q00612,4.25427039476625,,,,0.6288250895213352,,G6pdx,Q00612,4.25427039476625,,,,0.6288250895213352,,,,,
,,,,,,,,,,,,,,,,,,,,ENV1,P10404,3.0480145316635,,,,0.4840170332076635,,ENV1,P10404,3.0480145316635,4.24872403600828,56.39959222395247,0.0057844754867062,0.4840170332076635,-2.23773601502797,,,,
,,,,,,,,,,,,,,,,,,,,Acaa1a,Q921H8,2.15584086035754,,,,0.3336166989917812,,Acaa1a,Q921H8,2.15584086035754,,,,0.3336166989917812,,,,,
,,,,,,,,,,,,,,,,,,,,Gm10320,E9PW43,2.08965323002063,,,,0.320074222578226,,Gm10320,E9PW43,2.08965323002063,,,,0.320074222578226,,,,,
,,,,,,,,,,,,,,,,,,,,Eif3j2,Q66JS6,1.88366995317115,,,,0.2750048103075846,,Eif3j2,Q66JS6,1.88366995317115,,,,0.2750048103075846,,,,,
,,,,,,,,,,,,,,,,,,,,Eif2s3x,Q9Z0N1,1.77360221553189,,,,0.2488562226147049,,Eif2s3x,Q9Z0N1,1.77360221553189,,,,0.2488562226147049,,,,,
,,,,,,,,,,,,,,,,,,,,Try10,Q792Z1,1.60027046509625,,,,0.2041933898884756,,Try10,Q792Z1,1.60027046509625,,,,0.2041933898884756,,,,,
,,,,,,,,,,,,,,,,,,,,Lyz2,P08905,1.47577358239517,,,,0.1690197318371675,,Lyz2,P08905,1.47577358239517,,,,0.1690197318371675,,,,,
,,,,,,,,,,,,,,,,,,,,Timm8a1,Q9WVA2,1.20352109822295,,,,0.0804537080397903,,Timm8a1,Q9WVA2,1.20352109822295,,,,0.0804537080397903,,,,,
,,,,,,,,,,,,,,,,,,,,Zng1,Q8VEH6,1.0709834275348,,,,0.0297827505836076,,Zng1,Q8VEH6,1.0709834275348,,,,0.0297827505836076,,,,,
,,,,,,,,,,,,,,,,,,,,Akr1b8,P45377,1.04873422300269,,,,0.0206654404261138,,Akr1b8,P45377,1.04873422300269,,,,0.0206654404261138,,,,,
,,,,,,,,,,,,,,,,,,,,Hbb-b1,P02088,1.02552739327364,,,,0.0109472654734658,,Hbb-b1,P02088,1.02552739327364,,,,0.0109472654734658,,,,,
,,,,,,,,,,,,,,,,,,,,Try5,Q9QUK9,0.721640602699849,,,,-0.1416790394455835,,Try5,Q9QUK9,0.721640602699849,,,,-0.1416790394455835,,,,,
,,,,,,,,,,,,,,,,,,,,Gm7324,A0A2I3BRL8,0.49286227042389,4.35538742839507,44.11767038179915,0.0005879282080201,-0.3072744266695276,-3.230675702434504,Gm7324,A0A2I3BRL8,0.49286227042389,4.96500910539498,10.839041887054762,0.0048692427351131,-0.3072744266695276,-2.3125385750346026,-0.6096216769999101,-0.004281314527093,2.368422865516962,-0.9181371273999015
,,,,,,,,,,,,,,,,,,,,CS025,Q9D7E4,0.427207440825361,,,,-0.3693611916507248,,CS025,Q9D7E4,0.427207440825361,,,,-0.3693611916507248,,,,,
