gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome
Rpl9-ps6,A0A140T8T4,8.34633955891728,,,
Tpm3-rs7,D3Z2H9,5.8404330937423,,,
Ftl1,P29391,4.93747014558141,,,
G6pdx,Q00612,4.25427039476625,,,
ENV1,P10404,3.0480145316635,,,
Acaa1a,Q921H8,2.15584086035754,,,
Gm10320,E9PW43,2.08965323002063,,,
Eif3j2,Q66JS6,1.88366995317115,,,
Eif2s3x,Q9Z0N1,1.77360221553189,,,
Try10,Q792Z1,1.60027046509625,,,
Lyz2,P08905,1.47577358239517,,,
Timm8a1,Q9WVA2,1.20352109822295,,,
Zng1,Q8VEH6,1.0709834275348,,,
Akr1b8,P45377,1.04873422300269,,,
Hbb-b1,P02088,1.02552739327364,,,
Try5,Q9QUK9,0.721640602699849,,,
Gm7324,A0A2I3BRL8,0.49286227042389,4.35538742839507,44.11767038179915,0.0005879282080201165
CS025,Q9D7E4,0.427207440825361,,,
Prps1l3,G3UXL2,0.425325365606493,,,
H2-L,P01897,0.359604307861712,,,
Oas1a,P11928,0.284576600873028,,,
Ccl9,P51670,0.271872118146507,,,
Fv4,P11370,0.24998422244451,,,
Atad3,Q925I1,0.243861714770975,,,
H2-Q4,Q8HWB2,0.198172938409574,,,
Igkv1-135,A0A0B4J1H7,0.196742121994413,,,
Serpinb6b,O08804,0.184887307177329,,,
CK098,Q9D937,0.173789366410374,,,
Lilrb4a,Q64281,0.170468410481205,,,
Nxf7,Q80SZ6,0.170099458001148,,,
Naa12,Q9CQX6,0.161085980095165,,,
Rnf113a2,Q14B01,0.145164907033785,,,
2210016F16Rik,G3X8U3,0.14251762306116,,,
CHOLN,Q9CXL3,0.122672798527535,,,
Ifi207,E9Q3L4,0.121503688915403,,,
Raet1b,O08603,0.109541045531796,,,
Washc2,Q6PGL7,0.10669666685094,,,
Abcb1b,P06795,0.106624254104686,,,
Raet1c,O08604,0.0965351238603106,,,
Tmem181a,A0A338P7C9,0.0870626799644548,,,
Rnaset2a,C0HKG5,0.0853838407928452,,,
H2-T23,P06339,0.0841632228045227,,,
Mfap1b,C0HKD9,0.080523691295951,,,
H2-K1,P01901,0.0768319871637652,,,
Chchd2l,B2RPU8,0.0731738641612863,,,
Prdx6b,Q8BG37,0.0629556365905213,,,
Akr1c13,Q8VC28,0.0593801295328677,,,
Tesl1,B1AXB9,0.0562585543000262,,,
Prorsd1,Q9D820,0.0494771434305205,,,
H2-Q2,Q4KN81,0.0469861911068752,,,
CK054,Q91V76,0.0407717956393915,,,
Mt1,P02802,0.0357298756290228,,,
Mndal,D0QMC3,0.0349615015785297,,,
Iap,P03975,0.034691957751525,,,
Gm5678,A0A1B0GRG8,0.0308981665291319,,,
Aldh1a7,O35945,0.0285685391662645,,,
Gm20379,A0A087WR34,0.0253393344269382,,,
Isoc2a,P85094,0.0232710096504267,,,
CP054,Q8C708,0.0194580897093179,,,
Ube2d2b,Q6ZWY6,0.0164607481030464,,,
CX038,Q8C5K5,0.0138975680079845,,,
Slfn9,B1ARD6,0.0111841897063475,,,
Prpf4b,Q61136,0.0105131103491995,,,
Tuba3b,P05214,0.0101835030046541,,,
Anp32c,Q64G17,0.0096177530625493,,,
Ifi204,P0DOV2,0.0085869866995831,,,
Tlr13,Q6R5N8,0.0046539901816778,,,
AW551984,Q8BGF0,0.0002415481882993,,,
Gm6657,A0A1B0GRJ3,,,,
Aldoart2,A6ZI47,,,,
Or6c7,A0A1L1SV77,,,,
Gm9048,A0A1W2P7H4,,,,
Aldoart1,A6ZI46,,,,
Pin1rt1,Q3ULQ2,,,,
PPIA,P17742,183.44864945405,,,
VIME,P20152,14.7823400658583,,,
PROF1,P62962,29.8066161044897,,,
ANXA2,P07356,10.5494940924842,,,
G3P,P16858,73.6349773444249,,,
LEG1,P16045,38.0472628408389,,,
KPYM,P52480,66.41707250761,,,
EF1A1,P10126,111.013344883705,,,
CH10,Q64433,29.468065797522,,,
H4,P62806,31.9056819337397,,,
RS3A,P97351,12.7093202656969,,,
LDHA,P06151,40.0920553912391,,,
PRDX1,P35700,39.4713321806966,,,
THIO,P10639,21.1695381004636,,,
1433Z,P63101,11.5691559247657,,,
COF1,P18760,39.2301308542769,,,
ANXA1,P10107,6.11285338076655,,,
TPIS,P17751,27.6178766805192,,,
NPM,Q61937,18.6642404531684,,,
ENOA,P17182,22.5573588990155,,,
HS90A,P07901,7.10967756476579,,,
ROA2,O88569,11.2231616364205,,,
PGK1,P09411,27.0641836692074,,,
RLA2,P99027,24.0012685792302,,,
ALDOA,P05064,5.1651433325974,,,
RAN,P62827,17.8529143042371,,,
TBA1C,P68373,0.257293508978081,,,
RS9,Q6ZWN5,27.1320603530347,,,
1433E,P62259,10.0494068654303,,,
LDHB,P16125,1.95611873454914,,,
HSP7C,P63017,39.7314743452259,,,
RS20,P60867,20.9495550598988,,,
