Gene_ID,Uniprot_ID,Concentration_µM,SRC_pKapp_sign,HCK_pKapp_sign
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A
PPIA,P62937,231.327152778161,#N/A,#N/A
VIM,P08670,182.842833127068,#N/A,#N/A
PFN1,P07737,93.0360874603808,#N/A,#N/A
ANXA2,P07355,92.8613032351606,#N/A,#N/A
GAPDH,P04406,71.6254343791058,#N/A,#N/A
LGALS1,P09382,65.7452570555802,#N/A,#N/A
PKM,P14618,52.527383207025,#N/A,#N/A
EEF1A1,P68104,52.1054990969087,#N/A,#N/A
HSPE1,P61604,51.9672656813104,#N/A,#N/A
H4C16,P62805,50.0261366671109,#N/A,#N/A
RPS3A,P61247,42.5772492609899,#N/A,#N/A
LDHA,P00338,38.033477292764,#N/A,#N/A
PRDX1,Q06830,37.8297632814137,#N/A,#N/A
TXN,P10599,35.4185610744148,#N/A,#N/A
YWHAZ,P63104,33.0661958845241,#N/A,#N/A
CFL1,P23528,32.8970635716066,#N/A,#N/A
ANXA1,P04083,29.8922517537197,#N/A,#N/A
TPI1,P60174,25.0351236935182,#N/A,#N/A
NPM1,P06748,23.0768149259669,#N/A,#N/A
ENO1,P06733,21.524874969611,#N/A,#N/A
HSP90AA1,P07900,21.2336265163791,#N/A,#N/A
HNRNPA2B1,P22626,20.6506241522844,#N/A,#N/A
PGK1,P00558,20.6347617868024,#N/A,#N/A
RPLP2,P05387,20.5622653449828,#N/A,#N/A
ALDOA,P04075,20.4921556647297,#N/A,#N/A
RAN,P62826,20.3368049642102,#N/A,#N/A
TUBA1C,Q9BQE3,19.9145694614432,#N/A,#N/A
RPS9,P46781,19.1577289230484,#N/A,#N/A
YWHAE,P62258,18.4551987989072,#N/A,#N/A
LDHB,P07195,18.3699017777029,#N/A,#N/A
HSPA8,P11142,18.1648071783256,#N/A,#N/A
RPS20,P60866,17.22546718169,#N/A,#N/A
RPS25,P62851,16.7543892754471,#N/A,#N/A
KRT15,P19012,16.5289749214266,#N/A,#N/A
S100A11,P31949,16.1209609668188,#N/A,#N/A
VDAC1,P21796,16.0698932505256,#N/A,#N/A
RPS27A,P62979,15.9641347444194,#N/A,#N/A
COTL1,Q14019,15.7124759348834,#N/A,#N/A
LMNA,P02545,15.4739966486405,#N/A,#N/A
