Gene_ID,Uniprot_ID,Concentration_µM,SRC_pKapp_sign,HCK_pKapp_sign,SRC_Kapp_sign,HCK_Kapp_sign,delta_pKapp,SRC_Complexome,HCK_Complexome,delta_complexome,log_Concentration_µM,log_SRC_Complexome,log_HCK_Complexome,log_delta_complexome,ratio_log_intra
Rpl9-ps6,A0A140T8T4,8.34633955891728,,,,,,,,,0.9214960493865025,,,,
Tpm3-rs7,D3Z2H9,5.8404330937423,,,,,,,,,0.766445053148084,,,,
Ftl1,P29391,4.93747014558141,,,,,,,,,0.6935044826803998,,,,
G6pdx,Q00612,4.25427039476625,,,,,,,,,0.6288250895213352,,,,
ENV1,P10404,3.0480145316635,,4.24872403600828,,56.39959222395247,,,0.005784475486706242,,0.48401703320766354,,-2.23773601502797,,
Acaa1a,Q921H8,2.15584086035754,,,,,,,,,0.3336166989917812,,,,
Gm10320,E9PW43,2.08965323002063,,,,,,,,,0.320074222578226,,,,
Eif3j2,Q66JS6,1.88366995317115,,,,,,,,,0.27500481030758467,,,,
Eif2s3x,Q9Z0N1,1.77360221553189,,,,,,,,,0.24885622261470494,,,,
Try10,Q792Z1,1.60027046509625,,,,,,,,,0.20419338988847563,,,,
Lyz2,P08905,1.47577358239517,,,,,,,,,0.16901973183716756,,,,
Timm8a1,Q9WVA2,1.20352109822295,,,,,,,,,0.08045370803979038,,,,
Zng1,Q8VEH6,1.0709834275348,,,,,,,,,0.029782750583607673,,,,
Akr1b8,P45377,1.04873422300269,,,,,,,,,0.02066544042611383,,,,
Hbb-b1,P02088,1.02552739327364,,,,,,,,,0.010947265473465816,,,,
Try5,Q9QUK9,0.721640602699849,,,,,,,,,-0.14167903944558358,,,,
Gm7324,A0A2I3BRL8,0.49286227042389,4.35538742839507,4.96500910539498,44.11767038179915,10.839041887054762,-0.6096216769999101,0.0005879282080201165,0.004869242735113133,-0.004281314527093016,-0.3072744266695276,-3.230675702434504,-2.3125385750346026,2.36842286551696,-0.9181371273999015
CS025,Q9D7E4,0.427207440825361,,,,,,,,,-0.36936119165072484,,,,
Prps1l3,G3UXL2,0.425325365606493,,,,,,,,,-0.37127871600586276,,,,
H2-L,P01897,0.359604307861712,,,,,,,,,-0.44417511429875267,,,,
Oas1a,P11928,0.284576600873028,,,,,,,,,-0.5458008123666339,,,,
Ccl9,P51670,0.271872118146507,,,,,,,,,-0.5656353292128387,,,,
Fv4,P11370,0.24998422244451,,,,,,,,,-0.6020874006140234,,,,
Atad3,Q925I1,0.243861714770975,,4.29828039310114,,50.317563912221416,,,0.0005439053193541099,,-0.6128563766802178,,-3.264476693795896,,
H2-Q4,Q8HWB2,0.198172938409574,,,,,,,,,-0.7029556510707458,,,,
Igkv1-135,A0A0B4J1H7,0.196742121994413,,,,,,,,,-0.7061026487673921,,,,
Serpinb6b,O08804,0.184887307177329,,,,,,,,,-0.7330929028595397,,,,
CK098,Q9D937,0.173789366410374,,,,,,,,,-0.7599768001001131,,,,
Lilrb4a,Q64281,0.170468410481205,,,,,,,,,-0.7683560883710085,,,,
Nxf7,Q80SZ6,0.170099458001148,,,,,,,,,-0.7692970702056887,,,,
Naa12,Q9CQX6,0.161085980095165,,,,,,,,,-0.7929422561807997,,,,
Rnf113a2,Q14B01,0.145164907033785,,,,,,,,,-0.838138359693884,,,,
2210016F16Rik,G3X8U3,0.14251762306116,,,,,,,,,-0.8461314295151728,,,,
CHOLN,Q9CXL3,0.122672798527535,,,,,,,,,-0.9112517270778191,,,,
Ifi207,E9Q3L4,0.121503688915403,,,,,,,,,-0.9154105364583969,,,,
Raet1b,O08603,0.109541045531796,,,,,,,,,-0.9604231181952317,,,,
Washc2,Q6PGL7,0.10669666685094,,,,,,,,,-0.9718491475001274,,,,
Abcb1b,P06795,0.106624254104686,,,,,,,,,-0.9721439939426105,,,,
